Date,Open,High,Low,Close,Shares Traded,Turnover (? Cr)
1-Jan-19,10881.7,10923.6,10807.1,10910.1,1.59E+08,8688.26
2-Jan-19,10868.85,10895.35,10735.05,10792.5,3.10E+08,15352.25
3-Jan-19,10796.8,10814.05,10661.25,10672.25,2.86E+08,15030.45
4-Jan-19,10699.7,10741.05,10628.65,10727.35,2.97E+08,14516.74
7-Jan-19,10804.85,10835.95,10750.15,10771.8,2.69E+08,12731.29
8-Jan-19,10786.25,10818.45,10733.25,10802.15,2.78E+08,13433.48
9-Jan-19,10862.4,10870.4,10749.4,10855.15,3.33E+08,16213.3
10-Jan-19,10859.35,10859.35,10801.8,10821.6,2.54E+08,12031.26
11-Jan-19,10834.75,10850.15,10739.4,10794.95,2.61E+08,13084.6
14-Jan-19,10807,10808,10692.35,10737.6,2.99E+08,12732.57
15-Jan-19,10777.55,10896.95,10777.55,10886.8,3.11E+08,14879.91
16-Jan-19,10899.65,10928.15,10876.9,10890.3,2.77E+08,13081.63
17-Jan-19,10920.85,10930.65,10844.65,10905.2,2.72E+08,13215.83
18-Jan-19,10914.85,10928.2,10852.2,10906.95,3.24E+08,16408.83
21-Jan-19,10919.35,10987.45,10885.75,10961.85,2.89E+08,17289.7
22-Jan-19,10949.8,10949.8,10864.15,10922.75,3.01E+08,17483.62
23-Jan-19,10931.05,10944.8,10811.95,10831.5,2.99E+08,14736.91
24-Jan-19,10844.05,10866.6,10798.65,10849.8,3.61E+08,15298.48
25-Jan-19,10859.75,10931.7,10756.45,10780.55,4.63E+08,20542.36
28-Jan-19,10792.45,10804.45,10630.95,10661.55,4.20E+08,21144.33
29-Jan-19,10653.7,10690.35,10583.65,10652.2,3.57E+08,18832.06
30-Jan-19,10702.25,10710.2,10612.85,10651.8,4.10E+08,21214.81
31-Jan-19,10690.55,10838.05,10678.55,10830.95,6.05E+08,27471.18
########,10851.35,10983.45,10813.45,10893.65,4.82E+08,23112.37
########,10876.75,10927.9,10814.15,10912.25,3.18E+08,15478.81
########,10908.65,10956.7,10886.7,10934.35,2.68E+08,13435.13
########,10965.1,11072.6,10962.7,11062.45,2.99E+08,15172.85
########,11070.45,11118.1,11043.6,11069.4,2.64E+08,13542.69
########,11023.5,11041.2,10925.45,10943.6,3.53E+08,15507.05
########,10930.9,10930.9,10857.1,10888.8,2.86E+08,13818.92
########,10879.7,10910.9,10823.8,10831.4,2.92E+08,14424.78
########,10870.55,10891.65,10772.1,10793.65,3.22E+08,15360.98
########,10786.1,10792.7,10718.75,10746.05,6.27E+08,20797.41
########,10780.25,10785.75,10620.4,10724.4,5.22E+08,20733.95
########,10738.65,10759.9,10628.4,10640.95,3.45E+08,14903.19
########,10636.7,10722.85,10585.65,10604.35,2.92E+08,13765.01
########,10655.45,10752.7,10646.4,10735.45,2.89E+08,13209.71
########,10744.1,10808.85,10721.5,10789.85,2.80E+08,14758.5
########,10782.7,10801.55,10758.4,10791.65,3.97E+08,24386.42
